date	param-size	value	success	cilo	cihi	complete
"Fri Feb 22 11:43:13 CET 2013"	300000	11.226964305555555	true	9.587	12.867	"10.829438 10.964556 10.933375 10.965326 10.911048 10.945309 12.73456 12.999792 17.460988 11.691729 14.203148 10.431399 10.296666 10.260866 11.203226 10.928756 10.143841 10.921826 10.719727 10.315913 10.257401 13.108733 10.917207 14.160803 10.78132 10.170403 10.14769 10.255091 10.730506 10.449107 10.487987 11.843399 10.30552 10.179257 10.355179 10.159623"
"Fri Feb 22 11:43:13 CET 2013"	600000	21.628764833333335	true	20.309	22.948	"20.821609 21.427136 24.120253 20.879736 20.959036 21.695832 21.637319 21.250828 21.691213 24.031329 20.835082 20.96943 20.842781 20.875117 21.181922 23.973586 21.04642 21.034871 20.551372 20.540979 21.876759 21.630005 24.137961 23.00505 20.953262 21.776286 21.852891 20.196063 20.341575 24.034793 21.712769 21.950669 20.37699 20.443201 20.258041 23.723368"
"Fri Feb 22 11:43:13 CET 2013"	900000	32.705159694444454	true	30.874	34.537	"35.547904 32.776643 31.549419 31.549035 31.335002 35.157949 31.2711 31.512849 31.874318 35.81968 32.13416 31.397749 31.902419 31.73689 35.849706 30.567795 31.955157 32.909451 31.764992 34.817267 33.797917 31.960547 31.756523 32.367055 35.383145 32.422488 30.676351 31.23684 35.994448 31.859305 31.777311 32.046391 31.197575 35.997142 31.671065 33.812161"
"Fri Feb 22 11:50:32 CET 2013"	300000	10.798428388888889	true	9.883	11.714	"11.085816 11.498098 10.483368 10.660445 10.437943 10.566902 10.105731 10.50377 10.850611 11.351432 14.131932 10.842912 10.881791 10.914128 10.793253 10.259326 10.715878 9.9914 10.174637 10.003334 10.068775 10.025276 10.079939 13.624182 10.729736 10.767076 10.737435 10.81481 10.160008 10.675458 10.678152 10.691241 10.688931 10.768231 10.653901 11.327564"
"Fri Feb 22 11:50:32 CET 2013"	600000	21.721741222222224	true	19.913	23.530	"20.430884 24.046727 20.270744 20.791582 20.325021 20.203762 20.159493 20.244567 24.192624 20.758091 20.599876 20.522887 20.828538 21.037181 20.027455 24.166446 21.394415 21.296253 20.315398 20.495555 20.775414 21.467941 24.813165 20.522501 22.203967 22.028044 25.971097 23.855406 24.399342 20.724216 21.404809 23.268741 21.113017 21.464861 21.046805 24.815859"
"Fri Feb 22 11:50:32 CET 2013"	900000	31.621031138888895	true	29.815	33.428	"30.498504 30.735249 30.891924 30.658258 34.279106 31.075545 30.843035 30.767585 30.810699 36.243125 30.206711 31.868159 31.283419 33.843727 30.91887 30.363771 30.155897 31.009719 35.58101 30.609755 30.985081 31.202964 30.602825 33.804077 30.336054 31.202579 32.517956 30.568564 34.544337 30.48965 30.21056 30.899623 30.954285 35.07095 31.642963 30.680585"
"Fri Feb 22 11:58:18 CET 2013"	300000	10.549920972222221	true	9.752	11.348	"10.38097 10.198889 10.210822 10.444488 10.568441 10.199274 10.601547 10.627724 10.559972 10.254321 10.315528 13.256553 10.662369 10.220061 10.228145 10.514934 10.228145 10.790944 10.234689 11.413794 10.26741 10.259711 10.215057 13.471356 10.49761 10.298976 10.73474 10.412151 10.271259 10.202738 10.165398 10.600007 9.924033 10.120743 10.224295 10.220061"
"Fri Feb 22 11:58:18 CET 2013"	600000	21.208665805555555	true	19.581	22.837	"19.980106 20.643376 20.877811 20.023221 23.08358 19.930062 20.151024 19.813807 19.996273 20.957881 24.01747 20.615659 20.678792 20.57678 20.273054 20.856254 23.820761 20.618739 20.872037 20.172581 20.008977 20.764636 21.238511 25.43486 24.925569 20.49748 20.411636 21.132648 20.517497 23.667935 20.481312 21.071826 20.741539 20.567926 20.477462 23.612887"
"Fri Feb 22 11:58:18 CET 2013"	900000	31.732688277777772	true	29.790	33.676	"31.138293 30.960829 30.56587 35.195674 30.792607 30.439221 30.557401 33.93804 30.770279 30.782983 30.490805 30.7953 34.784546 31.073235 30.64825 31.273025 30.638241 35.018597 30.791451 30.522371 30.987006 35.209917 30.425748 30.380323 30.514672 31.843907 34.319912 30.745642 31.141372 30.809159 34.247541 30.873061 32.061789 30.671731 36.640395 30.327585"
"Tue Feb 26 10:03:16 CET 2013"	300000	10.722140861111109	true	10.074	11.370	"10.71288 10.182029 10.13699 10.282887 10.620106 10.207821 10.220139 10.305599 11.363068 10.486143 10.454962 12.264629 10.416851 10.588541 10.362187 10.438023 10.257865 10.443798 10.351409 10.599705 10.541576 10.661297 10.702872 13.296691 10.752531 10.944623 10.900353 10.46651 11.370382 10.535417 10.80527 10.789101 11.001211 10.977729 10.741367 10.814509"
