date	param-size	value	success	cilo	cihi	complete
"Fri Feb 22 11:43:13 CET 2013"	300000	15.27711794444444	true	-8.141	38.695	"7.629726 7.566594 86.094265 7.966944 7.401835 7.251705 7.473051 7.248626 7.338318 35.139472 7.5997 7.584688 7.564284 7.653209 7.616638 7.607399 77.313536 7.002642 6.958372 7.147768 7.080402 7.180489 7.033052 77.955249 7.263638 7.185493 7.031897 7.056535 6.834033 6.783604 51.226184 6.344761 6.599983 6.414052 6.350919 6.477183"
"Fri Feb 22 11:43:13 CET 2013"	600000	43.70280019444445	true	-14.848	102.254	"14.255887 159.317313 14.348659 14.328257 14.30285 165.719046 14.353664 14.292456 14.652001 156.145702 14.298616 14.441048 14.288991 173.418064 14.240873 14.197758 53.095891 14.267049 14.553838 14.34404 94.319126 14.038389 14.930705 19.696012 14.736689 14.675098 14.759787 110.132523 14.250497 14.792507 136.104004 15.09123 15.105857 15.112402 128.543184 14.150794"
"Fri Feb 22 11:43:13 CET 2013"	900000	71.02981125	true	-6.908	148.968	"22.37373 51.422893 22.074624 22.188954 205.198454 22.451105 144.541743 22.120818 87.318794 21.232735 54.128329 21.296638 30.391103 21.209639 44.039921 22.062306 59.202751 22.369111 95.333856 22.197807 129.206455 22.846451 145.552239 22.247081 259.516948 22.124667 262.511866 24.848195 22.363337 71.48076 22.660519 122.723497 22.123897 179.905641 21.719314 192.087027"
"Fri Feb 22 11:50:32 CET 2013"	300000	18.931275027777783	true	-7.053	44.915	"50.042075 7.250935 7.09118 7.019964 6.884462 6.966072 59.564605 6.921417 6.889851 6.885232 6.868678 41.682097 8.34843 8.056637 8.125544 8.10668 8.097442 82.287871 7.918825 8.237179 7.956935 7.91382 84.2542 10.123823 11.070418 10.202353 10.835212 78.84641 6.870219 6.892545 6.824024 6.981469 59.785567 6.564183 6.581121 6.578426"
"Fri Feb 22 11:50:32 CET 2013"	600000	43.75616922222221	true	-6.972	94.485	"15.897316 15.808393 16.422005 103.88323 15.669426 15.774132 15.684439 147.864639 16.055146 16.096336 52.678988 16.152924 16.349634 16.242232 151.958592 16.448182 16.45819 88.700767 16.230684 16.46204 94.304497 17.445589 16.616405 103.463249 16.125977 18.707073 143.915043 15.692137 25.950694 16.228759 16.530946 128.333771 17.541057 17.639989 126.248107 13.641504"
"Fri Feb 22 11:50:32 CET 2013"	900000	72.31537602777776	true	-2.314	146.945	"62.382445 21.696217 21.587661 169.216324 21.598055 54.275765 21.483724 21.62808 192.156318 21.522989 89.628885 21.583042 22.06577 212.644943 21.647713 128.487366 21.579192 24.977153 21.581886 21.669655 199.30755 21.716234 132.010822 21.770512 130.879836 21.648098 122.800872 21.503356 150.689793 21.629236 156.314696 21.583811 107.497534 23.995528 236.232424 20.360052"
"Fri Feb 22 11:58:18 CET 2013"	300000	21.661303805555562	true	-8.417	51.740	"7.443026 7.48229 82.751736 7.388362 7.496918 7.518476 8.018527 72.203313 7.32985 7.461503 8.639067 15.692523 89.733976 16.583684 16.488986 8.113609 8.324563 82.709392 7.945771 7.944232 7.923829 8.023916 82.622778 7.740977 7.71865 7.829901 7.752141 73.402819 7.134295 6.771671 6.760892 6.862519 52.0392 6.912178 6.54994 6.491427"
"Fri Feb 22 11:58:18 CET 2013"	600000	46.24069588888889	true	-9.623	102.104	"14.164268 64.176316 13.844758 13.83398 13.972562 100.221963 13.845529 13.761224 13.967558 153.285903 14.127313 13.83244 41.41802 14.381765 14.547294 14.467224 141.42595 15.444229 14.448362 108.356745 14.826383 15.616303 127.979616 14.374451 14.476078 149.521467 14.592719 46.646809 14.437198 14.504565 96.552226 14.353279 189.791949 19.013879 19.000791 91.453936"
"Fri Feb 22 11:58:18 CET 2013"	900000	74.24016258333333	true	-3.017	151.498	"20.562151 35.512489 21.418282 21.490268 157.649706 21.343217 51.643086 20.671477 20.649535 187.663171 20.590253 89.455656 20.49286 20.735379 221.891079 21.353995 134.584604 20.530586 32.615348 21.36362 21.675815 215.22373 21.464861 131.234376 21.484878 155.490516 21.470636 157.396408 21.372088 165.549667 21.628081 203.410357 21.390566 147.743765 23.680254 160.213093"
"Tue Feb 26 10:03:16 CET 2013"	300000	21.226152027777783	true	-9.024	51.476	"7.080841 7.374175 72.658114 7.994721 7.020404 7.675595 7.103168 75.064846 7.125496 7.524308 7.242906 7.262924 74.727241 7.085076 7.100474 7.068523 7.197098 76.219707 8.012429 9.004071 8.011275 9.027938 81.644477 8.213375 9.290861 8.266884 7.985867 82.859391 8.365432 7.864222 8.046691 8.103663 78.970587 6.804444 6.556148 6.588101"
"Tue Feb 26 10:03:16 CET 2013"	600000	44.53138625	true	-7.959	97.022	"14.413057 15.346955 173.942936 14.924276 14.739498 119.369183 17.592391 16.451387 73.755618 15.456282 17.766775 57.507101 15.331172 14.450782 36.015898 14.139354 14.395734 33.541414 17.124287 14.280633 89.789715 15.423176 14.729874 155.024379 16.005611 65.731254 15.803125 15.157558 158.941669 14.368017 71.98714 15.22146 15.546361 148.828162 14.732184 65.295487"
"Tue Feb 26 10:03:16 CET 2013"	900000	72.81341080555555	true	-7.822	153.449	"24.548507 23.18115 222.629974 23.086067 76.77789 23.10724 23.755502 209.681282 31.091182 83.775581 26.691545 23.261991 177.459489 24.247858 90.890298 26.498683 23.926806 236.649993 24.365268 131.773552 24.448804 29.987135 23.394415 24.557746 169.099831 23.003688 63.386886 24.036133 24.711342 226.08147 23.149585 144.699917 27.124234 219.948386 22.943249 23.31011"
"Tue Feb 26 20:47:23 CET 2013"	300000	20.507828083333337	true	-8.724	49.739	"7.577816 7.339145 71.5225 8.162947 7.489277 8.58986 7.419216 72.55918 7.439234 7.451936 7.500826 7.414211 77.572435 7.353003 7.395349 7.417675 7.42499 88.210249 8.030907 9.619997 8.427795 8.164871 87.942321 7.994337 8.856633 7.953531 7.973549 71.915923 6.974979 6.824077 6.867191 9.504896 45.467284 6.612737 6.59349 6.717444"
