date	param-size	value	success	cilo	cihi	complete
"Fri Feb 22 11:43:13 CET 2013"	300000	6.353047666666666	true	3.954	8.752	"5.651079 5.84471 5.562156 5.575244 5.568314 5.570239 5.655698 14.426034 5.633371 5.637221 5.820843 5.928629 5.931709 5.945182 5.875505 5.912846 5.945952 14.609271 6.005234 5.561385 5.56639 5.586792 5.56485 5.598725 5.563695 5.655313 11.396856 5.932863 5.937098 5.797361 5.56947 5.536363 5.617203 5.596801 5.581787 5.547527"
"Fri Feb 22 11:43:13 CET 2013"	600000	13.564161277777778	true	8.449	18.679	"11.727143 23.056633 11.508876 11.480775 11.289069 11.200146 11.465762 25.205044 11.124311 11.75255 11.725219 11.728683 14.262815 11.372604 12.197169 11.414179 11.341423 11.369909 20.252266 11.172044 11.182438 11.845323 11.52158 11.230942 26.508103 11.240566 11.881894 11.853792 11.823381 27.173298 11.08697 11.413023 11.070803 11.060024 19.413843 11.357206"
"Fri Feb 22 11:43:13 CET 2013"	900000	20.541278638888883	true	12.774	28.309	"17.728528 21.90794 16.527482 16.562897 16.740359 21.032947 17.593026 17.004821 16.602547 22.961165 17.527968 17.637679 17.099133 24.757346 17.51257 17.000586 17.470226 30.096615 16.706869 16.716878 16.790018 32.748542 17.682718 16.570211 16.642966 36.800149 17.608423 17.664626 17.308547 41.039229 17.573777 17.783576 17.730453 44.156561 16.881637 17.317016"
"Fri Feb 22 11:50:32 CET 2013"	300000	6.448301388888888	true	4.942	7.955	"6.15344 6.310115 6.004849 5.997919 6.337831 12.555943 5.972898 5.976363 5.970203 5.970203 5.974437 5.973283 5.999459 6.362468 6.390569 10.675073 5.965583 5.992146 5.963274 6.132652 6.236589 5.966739 5.977517 5.967893 5.968663 9.184158 5.960964 5.971743 5.996765 6.15421 6.080684 6.084148 5.993685 5.95827 5.985216 5.972898"
"Fri Feb 22 11:50:32 CET 2013"	600000	13.757085999999997	true	9.495	18.019	"12.060511 12.157134 12.531691 12.716853 12.767666 17.303157 11.878429 11.904606 12.02702 11.903836 11.849943 20.816604 12.094001 12.129802 12.297641 12.711079 12.746879 24.701913 11.934632 11.900372 11.977362 11.897292 16.456265 11.893057 14.444127 11.859567 11.918079 11.886129 27.880838 11.948875 12.007388 12.256452 11.909611 22.506154 11.909226 12.070905"
"Fri Feb 22 11:50:32 CET 2013"	900000	21.616809916666668	true	14.802	28.432	"18.092307 18.765201 25.965322 19.603624 17.985675 18.378325 23.845783 19.424621 18.477257 19.026198 19.000021 45.099305 18.324817 18.861438 18.989627 38.71759 18.637397 18.274389 18.978464 35.487852 18.38025 18.996171 18.471868 29.474534 18.498429 18.237048 18.531535 26.412635 18.267844 18.058046 22.840676 23.732607 18.368317 18.076909 18.335595 23.58748"
"Fri Feb 22 11:58:18 CET 2013"	300000	6.3631632499999995	true	4.707	8.020	"5.925934 5.841245 6.10763 5.87666 5.961349 5.823152 11.63976 5.862802 5.890518 6.03372 5.803904 6.136117 5.811218 6.464865 5.690344 6.007544 8.892751 6.064902 5.653774 5.785812 5.934018 8.2699 5.793896 5.850099 5.700737 5.658008 12.362697 5.680335 5.791971 5.677641 6.162678 5.634911 6.03064 5.709207 5.632217 5.910921"
"Fri Feb 22 11:58:18 CET 2013"	600000	14.042195611111113	true	8.336	19.748	"27.345371 12.0301 12.227195 14.001049 12.572495 11.529279 26.657463 11.439585 11.560075 11.449209 11.625132 11.419183 26.773719 11.281371 11.119692 11.461912 11.812603 17.1665 11.493864 11.763714 11.528509 11.47962 11.773723 22.889179 11.252884 11.435351 11.410714 11.361056 16.598697 11.344503 11.840705 11.776418 11.797205 11.817992 28.889409 11.593566"
"Fri Feb 22 11:58:18 CET 2013"	900000	22.211003166666664	true	13.597	30.825	"32.075648 19.804183 17.466761 17.231557 33.217412 17.673865 17.307777 17.016754 34.256779 17.899062 17.9083 17.561459 38.471606 17.914074 17.839009 17.285065 40.350552 18.949207 17.696962 17.161111 35.785034 17.349352 17.4402 18.215106 34.763375 17.107218 17.514496 17.356666 35.38584 17.5988 18.158903 17.609578 36.729704 17.805518 17.535668 18.153513"
"Tue Feb 26 10:03:16 CET 2013"	300000	6.358956333333333	true	4.079	8.639	"5.574901 5.288881 5.592609 5.468269 10.280577 5.431314 5.393203 5.442862 5.362407 5.396283 5.452486 5.366256 5.29196 5.370876 6.304774 13.024143 5.738122 5.225363 5.371261 5.229983 5.437473 5.324682 5.316597 5.267324 5.460571 10.242082 5.275408 5.511769 5.452872 5.662671 6.34173 6.357898 6.420645 6.194678 10.01496 13.034538"
