date	param-size	value	success	cilo	cihi	complete
"2013-04-17T13:41:17Z"	20000	1.3656217187499997	true	1.185	1.547	"1.180662 1.190286 1.23648 1.279211 1.293069 1.295379 1.311547 1.504025 1.145631 1.332335 1.344654 1.352353 1.401628 1.528278 1.529433 1.572933 1.416255 1.433964 1.469379 1.50287 1.531743 1.550606 1.572163 1.589101 1.149866 1.15872 1.205684 1.301539 1.303848 1.313472 1.326176 1.376605"
"2013-04-17T13:41:17Z"	60000	4.482002218749998	true	4.007	4.957	"3.659013 3.662862 3.859961 3.904231 3.983916 4.135589 4.208346 4.22028 4.246072 4.460878 4.496293 4.52709 4.657591 4.7546 4.784241 4.851993 4.674144 4.694161 4.74998 4.762684 4.778853 4.810803 4.823892 4.88202 4.361559 4.407754 4.413529 4.636418 4.664135 4.74844 4.793865 4.808878"
"2013-04-17T13:41:17Z"	100000	6.273446312499998	true	6.120	6.427	"6.143524 6.153532 6.173935 6.181634 6.193567 6.225519 6.248232 6.273254 6.132745 6.189333 6.203962 6.21705 6.290962 6.315214 6.337927 6.357559 6.121966 6.197032 6.266324 6.294811 6.308284 6.315599 6.342546 6.48267 6.070767 6.260935 6.302511 6.313675 6.387971 6.392206 6.39644 6.658596"
"2013-04-17T13:41:17Z"	140000	8.71458865625	true	8.609	8.820	"8.664989 8.679233 8.719653 8.725043 8.728892 8.756995 8.768543 8.782016 8.476745 8.647666 8.70772 8.74275 8.820897 8.840915 8.87633 8.907513 8.627263 8.636888 8.643817 8.663065 8.672304 8.701945 8.70541 8.744291 8.671149 8.676153 8.678463 8.691936 8.70387 8.717343 8.717343 8.769697"
"2013-04-17T13:41:17Z"	180000	11.167099625	true	10.712	11.622	"11.206859 11.249588 11.323885 11.326965 11.338898 11.358532 11.385478 11.46324 10.38998 10.39999 10.552817 10.591312 10.722198 11.077513 11.127558 11.294629 10.817283 10.873486 10.945857 11.034398 11.146035 11.209169 11.308872 11.3747 11.114854 11.371235 11.444376 11.482873 11.570257 11.596049 11.615297 11.633005"
"2013-04-17T13:41:17Z"	220000	13.658779812499999	true	12.344	14.973	"13.829183 14.202591 14.957876 15.300103 15.402501 15.738953 15.759741 16.139309 12.632353 12.832916 13.091222 13.121632 13.259062 13.356457 13.447306 13.542391 12.57076 12.715119 12.846389 12.860247 12.985358 13.020004 13.133567 13.787608 13.01808 13.197084 13.23096 13.250209 13.371085 13.432678 13.501585 13.546625"
"2013-04-18T21:50:29Z"	20000	1.3517873749999998	true	1.167	1.536	"1.158334 1.160259 1.165649 1.244949 1.284601 1.369291 1.369291 1.532512 1.292299 1.320016 1.410097 1.41664 1.449362 1.485933 1.522119 1.545986 1.107135 1.197985 1.212998 1.247645 1.28691 1.28768 1.299229 1.365827 1.172193 1.287295 1.360822 1.480929 1.522118 1.562155 1.569084 1.569853"
"2013-04-18T21:50:29Z"	60000	4.4894849375	true	3.949	5.030	"4.489365 4.702631 4.70879 4.727268 4.7469 4.760374 4.765764 4.904348 4.567126 4.643347 4.676068 4.720339 4.740742 4.741511 4.744591 4.768073 3.622442 3.654779 3.747553 3.827239 3.882673 4.070917 4.139824 4.227209 3.861885 4.319213 4.677994 4.740357 4.759604 4.830051 4.879326 5.015215"
"2013-04-18T21:50:29Z"	100000	6.279533375	true	5.956	6.603	"6.032656 6.160462 6.162387 6.190488 6.232449 6.235528 6.278643 6.361024 6.082315 6.154302 6.17201 6.175859 6.180479 6.210506 6.26748 6.425696 6.091169 6.167775 6.197032 6.231293 6.302896 6.315984 6.346396 6.603161 5.671952 6.028422 6.257085 6.423387 6.427237 6.723268 6.890724 6.945003"
"2013-04-18T21:50:29Z"	140000	8.952083031249998	true	8.283	9.621	"8.561437 8.589923 8.598777 8.606861 8.709644 8.735822 8.736592 8.74968 8.545653 8.676539 8.779322 8.780091 8.791255 8.863242 8.936384 9.0153 8.617639 8.633038 8.646126 8.753145 8.75353 8.75661 8.786251 8.863242 8.560666 8.694247 9.750183 9.76943 9.779054 10.049294 10.089329 10.288351"
"2013-04-18T21:50:29Z"	180000	10.9276445	true	10.539	11.316	"10.366498 10.373427 10.377662 10.473516 10.664839 10.726433 10.809198 10.831526 11.074819 11.081363 11.107155 11.119088 11.120628 11.155274 11.18607 11.23573 10.861937 11.034013 11.090986 11.10138 11.182221 11.201469 11.339669 11.386633 10.547428 10.593238 10.634428 10.749915 10.92199 11.056725 11.079822 11.199544"
"2013-04-18T21:50:29Z"	220000	13.268662218750002	true	12.639	13.898	"12.432175 12.562291 12.725897 12.812898 12.872566 13.163978 13.654798 13.811475 13.095071 13.518138 13.574342 13.711001 13.722935 13.751807 13.925037 13.992404 13.003836 13.076593 13.672891 13.677896 13.709846 13.72871 13.781449 13.865369 12.66392 12.695101 12.829835 12.833685 12.855243 12.897588 12.934544 13.043872"
"2013-04-18T21:55:10Z"	20000	1.3746683124999997	true	1.174	1.575	"1.074414 1.275361 1.280366 1.316551 1.343114 1.357358 1.41895 1.42588 1.174118 1.206839 1.460526 1.468995 1.485933 1.527893 1.55407 1.844713 1.293069 1.393928 1.398548 1.447822 1.448977 1.482468 1.499791 1.545216 1.048237 1.250724 1.262273 1.267663 1.279596 1.372371 1.386999 1.396623"
"2013-04-18T21:55:10Z"	60000	4.424920468749999	true	3.935	4.915	"3.877669 3.886523 4.644887 4.748825 4.756909 4.805029 4.913587 4.927445 3.980837 4.193333 4.243378 4.287263 4.29958 4.31575 4.499374 4.631414 4.624485 4.710715 4.729192 4.742666 4.74767 4.75075 4.758064 4.833131 3.7387 3.745244 3.779119 4.056673 4.16831 4.183324 4.47897 4.538639"
"2013-04-18T21:55:10Z"	100000	6.568359218749999	true	5.580	7.557	"6.062683 6.135055 6.174705 6.237453 6.259396 6.272869 6.30559 6.387586 6.620869 6.784861 7.648319 7.736089 7.919714 8.073696 8.297356 8.345091 5.703518 5.780124 5.816695 5.855191 6.176245 6.466118 6.497299 6.849919 6.092324 6.118886 6.182404 6.235913 6.245922 6.284417 6.295581 6.325607"
"2013-04-18T21:55:10Z"	140000	8.386160781250004	true	7.888	8.884	"7.833868 7.903545 7.919714 7.928952 7.973223 8.17109 8.326613 8.589923 8.577605 8.628804 8.66268 8.731587 8.761999 8.762769 8.786636 8.815893 8.53064 8.676153 8.689242 8.726968 8.731972 8.804344 8.826286 8.877486 7.800377 7.870054 7.938576 7.988621 8.021727 8.097563 8.159157 8.243078"
"2013-04-18T21:55:10Z"	180000	10.840307374999998	true	10.262	11.419	"10.322613 10.365728 10.457348 10.622109 10.640972 10.656755 10.914676 11.166823 11.127557 11.139876 11.15181 11.233806 11.244199 11.266911 11.281925 11.333894 10.136678 10.165551 10.194807 10.20905 10.264485 10.339936 10.424626 10.453113 11.038632 11.10292 11.206859 11.248818 11.261907 11.266142 11.293089 11.356221"
"2013-04-18T21:55:10Z"	220000	13.229709500000002	true	12.624	13.835	"12.88373 13.310262 13.456545 13.581272 13.648638 13.654413 13.784528 13.953909 12.568835 12.730517 12.827911 12.832915 12.935699 12.984589 13.154739 13.175142 12.552667 12.603866 12.613105 12.733211 12.799809 12.883345 12.905287 13.026548 13.50659 13.67674 13.705998 13.718701 13.729864 13.754502 13.780679 13.876148"
"2013-04-18T22:00:40Z"	20000	1.41808415625	true	1.249	1.587	"1.285755 1.342729 1.371986 1.373141 1.485163 1.517885 1.524428 1.525583 1.205685 1.339264 1.428574 1.454752 1.525199 1.529433 1.539827 1.689575 1.230707 1.315012 1.345809 1.37699 1.393543 1.398162 1.455521 1.505565 1.076723 1.266892 1.330795 1.41818 1.444742 1.477463 1.580632 1.622978"
