date	param-size	value	success	cilo	cihi	complete
"2013-04-17T13:41:17Z"	100000	0.4324346388888889	true	0.337	0.528	"0.360319 0.360319 0.36032 0.360705 0.361089 0.36109 0.376488 0.385341 0.398045 0.398045 0.416138 0.491204 0.424223 0.508142 0.508912 0.516612 0.520461 0.522001 0.53047 0.539709 0.550873 0.557803 0.583979 0.592064 0.36032 0.368403 0.376488 0.376872 0.376873 0.376873 0.379568 0.380722 0.389961 0.390346 0.394195 0.412674"
"2013-04-17T13:41:17Z"	300000	1.3461720555555554	true	1.068	1.624	"1.098666 1.143321 1.174888 1.231092 1.24033 1.325406 1.498251 1.517499 1.529433 1.577552 1.680336 1.706128 1.088657 1.149095 1.214924 1.432809 1.54714 1.54714 1.602959 1.603345 1.624903 1.637605 1.673792 1.73423 1.083653 1.105596 1.108291 1.109445 1.11599 1.147171 1.166034 1.183741 1.186437 1.190671 1.239175 1.246489"
"2013-04-17T13:41:17Z"	500000	2.4178166111111112	true	1.942	2.893	"1.850487 1.966744 1.984837 1.988686 1.99985 2.121882 2.48297 2.589218 2.621555 2.730112 2.748591 2.771303 1.833933 1.882438 1.984067 2.014863 2.028337 2.222355 2.231594 2.433696 2.552263 2.639263 2.764759 2.819423 1.915545 2.051819 2.458333 2.636953 2.645037 2.728573 2.738582 2.819807 2.850989 2.871391 2.898724 3.162419"
"2013-04-17T13:41:17Z"	700000	3.3117287777777773	true	2.736	3.887	"2.66852 3.187826 3.246725 3.315632 3.367216 3.637456 3.804911 3.824544 3.828779 3.837248 3.946576 4.17601 2.574975 2.602307 2.692387 2.760524 3.02037 3.134703 3.158954 3.319481 3.345658 3.586641 3.766801 3.788743 2.596533 2.642727 2.826352 2.845985 2.879861 3.140092 3.28907 3.480779 3.553535 3.766031 3.77835 3.829934"
"2013-04-17T13:41:17Z"	900000	4.414554722222222	true	3.761	5.068	"3.33257 3.454986 3.699433 3.747553 4.392741 4.425847 4.460492 4.515542 4.53248 4.618325 4.622175 4.803104 4.019718 4.629874 4.688772 4.739972 4.766534 4.780392 4.831206 4.833516 4.845834 4.933604 5.012135 5.02022 3.356822 3.420725 3.724841 3.788359 4.035116 4.067067 4.691082 4.696471 4.75768 4.779237 4.88587 5.013675"
"2013-04-18T21:50:29Z"	100000	0.4186830555555555	true	0.327	0.511	"0.359935 0.36032 0.360704 0.365324 0.368018 0.370328 0.376488 0.377258 0.377258 0.386881 0.39458 0.395735 0.359934 0.360319 0.360319 0.360319 0.360319 0.360319 0.36032 0.360704 0.361089 0.36109 0.36109 0.361474 0.506218 0.509683 0.510067 0.514302 0.515842 0.516612 0.518536 0.525081 0.528545 0.532395 0.535475 0.539709"
"2013-04-18T21:50:29Z"	300000	1.237133138888889	true	1.026	1.448	"1.080958 1.095972 1.098666 1.134853 1.141396 1.20068 1.220313 1.287295 1.51596 1.549836 1.696889 1.723066 1.085193 1.090197 1.106751 1.10829 1.137547 1.143707 1.149096 1.15564 1.196445 1.204144 1.215308 1.223392 1.081728 1.125613 1.129463 1.173733 1.187977 1.189131 1.232246 1.240331 1.28075 1.407017 1.439352 1.487858"
"2013-04-18T21:50:29Z"	500000	2.225712444444445	true	1.725	2.726	"2.560731 2.583059 2.656586 2.656586 2.730112 2.791321 2.802484 2.828276 2.855224 2.890254 2.909502 2.942223 1.799672 1.825079 1.839323 1.853567 1.90977 1.922474 1.927863 2.008703 2.015248 2.047585 2.088005 2.198488 1.837783 1.868965 1.873584 1.893217 1.917854 1.919779 1.931328 2.029876 2.030262 2.032957 2.041425 2.106483"
"2013-04-18T21:50:29Z"	700000	3.3131401944444447	true	2.648	3.978	"2.614625 2.668905 2.899879 3.645539 3.68904 3.754097 3.764491 3.786048 3.801447 3.810301 3.989691 4.068607 2.66082 3.253269 3.513884 3.556999 3.635531 3.68904 3.720221 3.807607 3.925019 3.928098 3.938492 3.965823 2.567661 2.61963 2.62271 2.641572 2.646962 2.769763 2.79979 2.810954 2.818653 2.841365 2.986109 3.060405"
"2013-04-18T21:50:29Z"	900000	4.1495869444444455	true	3.320	4.979	"3.239795 3.254038 3.302929 3.380305 3.409561 3.431504 3.451522 3.463456 3.481548 3.495406 3.59511 3.703668 4.57906 4.643348 4.670294 4.670679 4.686078 4.686462 4.765378 4.792711 4.895109 4.907813 4.909737 5.011751 3.301388 3.416491 3.478853 3.597035 4.141748 4.423922 4.565201 4.593688 4.739586 4.773848 4.911662 5.014446"
