date	param-size	value	success	cilo	cihi	complete
"2013-04-17T13:41:17Z"	100000	1.0997142500000001	true	0.859	1.341	"0.745276 0.747586 0.761445 0.763369 0.763755 0.788776 0.791471 0.930055 0.955847 1.131773 1.146786 1.166803 1.169498 1.169498 1.171808 1.186052 1.186436 1.19375 1.200679 1.205684 1.226472 1.229167 1.256113 1.259193 1.299614 1.318091 1.525969 1.009741 1.107136 1.10906 1.11214 1.126769 1.15949 1.178737 1.182587 1.313087"
"2013-04-17T13:41:17Z"	300000	3.3224326944444442	true	2.621	4.024	"3.497331 3.515424 3.524664 3.642075 3.681725 3.759486 3.916934 4.114032 4.31113 2.378262 2.510302 2.529166 2.655046 2.696621 2.767069 3.357592 3.607814 4.08593 2.75167 2.814418 3.165499 3.185132 3.496177 3.616668 3.693275 3.806451 3.848026 2.330528 2.554958 2.653121 2.825582 3.166269 3.439588 3.801832 3.900766 4.007014"
"2013-04-17T13:41:17Z"	500000	5.627307138888889	true	4.733	6.522	"4.2684 5.463305 5.583026 5.618827 5.63461 5.722765 6.302125 6.370647 6.504997 4.001625 5.549535 5.563779 5.653088 5.763186 5.969138 5.99493 6.105413 6.160077 4.025491 4.763453 5.15765 5.46215 5.732005 5.737779 5.738549 5.745864 7.435438 4.190639 5.02253 5.0233 5.711987 5.77127 6.098098 6.111957 6.212816 6.412608"
"2013-04-17T13:41:17Z"	700000	6.114886833333331	true	5.051	7.178	"5.946041 6.021877 6.230909 6.406833 6.638578 6.708254 6.737126 7.024305 7.757262 5.287765 5.563394 5.927178 6.427622 6.787171 6.852228 7.051251 7.395787 8.47713 5.069879 5.369375 5.453681 5.655398 5.667332 5.99108 6.165851 6.760609 7.289539 4.948233 5.136862 5.251964 5.288919 5.308552 5.324721 5.387084 5.409796 5.41634"
"2013-04-17T13:41:17Z"	900000	6.6418176666666655	true	6.379	6.905	"6.387201 6.394515 6.513081 6.604702 6.690932 6.705945 6.728658 6.729042 6.774468 6.394516 6.542338 6.603932 6.716723 6.743286 6.767923 6.772157 6.79487 7.427354 6.401829 6.497298 6.519626 6.543878 6.699786 6.723653 6.737126 6.788325 7.078968 6.357559 6.366029 6.384507 6.437245 6.555042 6.579679 6.66976 6.729812 6.743671"
"2013-04-18T21:50:29Z"	100000	0.9016647777777779	true	0.649	1.155	"0.753361 0.771838 0.781462 0.798785 0.821497 0.826887 0.831506 0.856914 0.858453 0.689073 0.698696 0.703701 0.714864 0.744121 0.764524 0.776072 0.798785 0.822267 1.141397 1.168729 1.20376 1.221852 1.227242 1.277671 1.281905 1.298459 1.323481 0.745276 0.776073 0.798785 0.80071 0.801865 0.824193 0.847675 0.850369 0.857684"
"2013-04-18T21:50:29Z"	300000	3.0251712499999996	true	2.319	3.731	"2.431386 2.745896 3.392238 3.514655 3.589721 3.595495 3.884983 3.895761 4.30805 2.347851 2.463722 2.477196 2.485665 2.48759 2.489129 2.491439 2.575361 2.616936 2.75398 2.861768 2.909503 2.992653 2.994963 3.391853 3.590876 3.647079 3.665558 2.448324 2.533399 2.558037 2.558037 2.587293 2.588449 3.434969 3.68596 3.91039"
"2013-04-18T21:50:29Z"	500000	4.735512444444444	true	3.130	6.341	"3.754098 3.95928 3.994696 4.050129 4.082081 4.144059 4.166771 4.457413 4.48359 5.706982 5.834018 6.317909 6.981574 7.076273 7.082433 7.115154 7.122469 8.202657 3.718297 3.739854 3.741779 3.758717 3.784894 3.788743 3.795288 3.816846 3.833783 4.159842 4.17678 4.184864 4.185249 4.199107 4.22336 4.257236 4.286107 4.296116"
"2013-04-18T21:50:29Z"	700000	5.901503166666666	true	4.501	7.302	"5.239645 5.251194 5.253503 5.268517 5.273521 5.279295 5.28122 5.28276 5.301623 4.88356 5.245804 5.255429 5.564548 6.081931 6.393745 7.811156 7.826939 9.818704 5.216933 5.228096 5.274676 5.277756 5.293539 5.295079 5.322026 5.32934 5.389778 5.228482 5.250039 5.942191 6.04074 6.07885 6.453413 7.575562 7.741093 8.203427"
"2013-04-18T21:50:29Z"	900000	6.617929027777778	true	6.373	6.863	"6.287883 6.359869 6.508462 6.538874 6.719418 6.744826 6.762149 6.795255 6.799875 6.384891 6.399519 6.414148 6.471121 6.554272 6.722498 6.734432 6.743286 6.771003 6.357945 6.385661 6.406064 6.527326 6.553887 6.664369 6.70787 7.037008 7.067035 6.417997 6.424542 6.431856 6.616635 6.763303 6.764073 6.777162 6.79795 6.832981"
